,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,PREMIOS,LINK,DATA_COLETA
25,60fc83a970b4b14381fe4126,Cachaça Rainha do Vale Prata Jequitiba 600 ML,"      R$39,90      ",Cachaça Rainha do Vale Prata Jequitiba 600 ML Origem: Belo Vale/MG Madeira: Jequitibá Envelhecimento: 2 anos Grad. Alcoólica: 45% Volume: 600ml ,Volume: 600 ML,, Jequitibá Envelhecimento: 2 anos , Belo Vale/MG , 2 anos,,https://www.cachacaepresente.com.br/produtos/cachaca-rainha-do-vale-prata-jequitiba-600-ml/,24/07/2021 17:41
26,60fc83a970b4b14381fe4127,Cachaça Pinga Ni Mim Blend Carvalho e Amburana 670 ML,"      R$65,90      ","Cachaça Pinga Ni Mim Blend Carvalho e Amburana 670 ML A Cachaça Pinga ni Mim, produzida pela Meia Lua Destilaria, é uma homenagem ao cantor e ator, Sérgio Reis, que tem a música como marco na sua carreira de grande artista nacional. Lançada nos anos 80 a música Pinga Ni Mim ultrapassa gerações e é sucesso até hoje em todos os shows em que é apresentada. Destilada em alambiques de cobre, a cachaça Pinga Ni Mim é um blend especial de cachaça envelhecida por três anos em barris de Carvalho com cachaça envelhecida por 2 anos em barris de Amburana. Apresenta notas aromáticas frutadas, de coco caramelizado, amêndoas e baunilha além de um toque de especiarias, que resulta num produto suave, de coloração intensa. Grad. Alcoólica: 40% ​Volume: 670 ml Tempo de Envelhecimento: 3 anos em carvalho e 3 anos em amburana Origem: Salinas/MG Coloração: Dourada Análise: Notas aromáticas frutadas, de coco caramelizado, amêndoas e baunilha. ",Volume: 670 ML,,, Salinas/MG , 3 anos em carvalho e 3 anos,,https://www.cachacaepresente.com.br/produtos/cachaca-pinga-ni-mim-blend-carvalho-e-amburana-670-ml/,24/07/2021 17:42
27,60fc83a970b4b14381fe4128,Cachaça Ouro Rota 48 Amburana 1L,"      R$74,90      ","Cachaça Ouro Rota 48 Amburana 1L ORIGEM: Cachaça Gaúcha produzida em Ivoti - Rio Grande do Sul - Brasil Produzida pela Cachaçaria Weber Haus. A Cachaça Weber Haus Rota 48 é uma homenagem da destilaria Weber Haus à Rota 48, um trajeto muito utilizado por tropeiros no século XIX, construída por imigrantes alemães que povoaram a cidade de Ivoti, no Rio Grande do Sul, e finalizada com recursos de Dom Pedro II, devido a sua importância comercial. Parte da rota ficou conhecida como a “Ponte do Imperador” e contava com hospedarias para os viajantes, ferrarias, comércio de charque e, inclusive, de cachaça. Ponto turístico da região, hoje a Rota 48 faz parte da “Rota Romântica” e é o principal acesso à Weber Haus. Graduação Alcoólica:40% Volume: 1000 ML Madeira: Amburana Envelhecimento: 6 meses ",,40%, Amburana, Cachaça Gaúcha produzida em Ivoti - Rio Grande do Sul - Brasil ,,,https://www.cachacaepresente.com.br/produtos/cachaca-ouro-rota-48-amburana-1l/,24/07/2021 17:42
28,60fc83a970b4b14381fe4129,Cachaça Harmonie Schnaps 700ml,"      R$79,90      ","Cachaça Harmonie Schnaps 700ml cachaca e presente, um presente diferente! Origem: Região de Betim - MG, na Cidade de Hamonia - RS, Madeira: Bálsamo Envelhecimento: 1 ano Grad. Alcoólica: 38% Volume: 700ml Ideal Para Tomar Pura, ela é refrescante, deixando um frescor em seu paladar. Envelhecida em barris de uma tosta média e com capacidade até 700 Litros (considerado pequeno). A fermentação utilizada são leveduras selecionadas. O grande resultado é de uma cachaça leve, suave e sem grande acidez. ATENÇÃO prazo de entrega: Poderá ocorrer um prazo maior para entrega em função da epidemia, mais você fez uma ótima compra sem sair de casa. #Fica em Casa. ",Volume: 700ml,, Bálsamo Envelhecimento: 1 ano ," Região de Betim - MG, na Cidade de Hamonia - RS, ",,,https://www.cachacaepresente.com.br/produtos/cachaca-harmonie-schnaps-700ml/,24/07/2021 17:42
29,60fc83aa70b4b14381fe412a,Cachaça Sabicana Ouro Especial 700 ML,"      R$59,90      "," Cachaça Sabicana Especial 700ml. Produzida Em Sabinópolis, Minas Gerais. De Fabricação Artesanal, Possui Baixa Acidez E Sabor Marcante. Envelhecida Por 3 Anos Em Barris De Carvalho. Cachaça Sabicana, O Verdadeiro Ouro De Minas. Envelhecimento: 3 Anos. Madeira: Carvalho. Premiações: Medalha De Prata Na Categoria Cachaça Carvalho Na ExpoCachaça 2016. ",Volume: 700 ML,, Carvalho. ,, 3 Anos,,https://www.cachacaepresente.com.br/produtos/cachaca-sabicana-ouro-especial-700-ml/,24/07/2021 17:42
30,60fc83aa70b4b14381fe412b,Cachaça Germana Soul 1000 ML,"      R$79,90      ","Cachaça Germana Soul 1000ml Estado: Minas Gerais Cidade: Nova União/MG Envelhecimento: inox(mínimo 90 dias) Grad. Alcoólica: 40% Volume: 1000 ml A Cachaça Germana Soul é uma bebida não envelhecida, leve, com graduação alcoólica de 40%, e desenvolvida especialmente para o mercado de caipirinhas, drinks e coquetéis. Agrada, também, quem aprecia a cachaça branca em estado cremoso, denso e super gelada. Para isso, recomenda-se o descanso permanente dentro de um freezer, resultando, assim, em aroma e sabor refrescante e suave de cana-de-açúcar. Seu nome, Soul (alma, em inglês), expressa a pureza do produto em sua forma pura e original, já que é produzida e imediatamente depositada em tonéis de inox. Eventualmente o rótulo e/ou modelo de garrafa poderão ser mais atuais que a foto deste anúncio ",Volume: 1000 ML,,,,,,https://www.cachacaepresente.com.br/produtos/cachaca-germana-soul-1000-ml/,24/07/2021 17:42
31,60fc83aa70b4b14381fe412c,Cachaça Jacuba Prata 750 ML,"      R$89,99      ",Kit Cachaça Jacuba Prata 750 ML Origem: Coronel Xavier Chaves / Minas Gerais Madeira: Neutra. Envelhecimento: N/A. Teor Alcoólico: 40%. Volume: 750ml Tipo: Prata ,Volume: 750 ML,, Neutra. , Coronel Xavier Chaves / Minas Gerais ,,,https://www.cachacaepresente.com.br/produtos/cachaca-jacuba-prata-750-ml/,24/07/2021 17:42
32,60fc83aa70b4b14381fe412d,Cachaça Beleza de Minas Ouro 1 Litro,"      R$59,90      ","Cachaça Beleza de Minas Ouro 1 Litro Origem: Salinas/ Minas Gerais Madeira: Castanheira, Louro Canela. Teor Alcóolico: 43%. Volume: 1000ml. Envelhecimento: 2 anos. ",,," Castanheira, Louro Canela.", Salinas/ Minas Gerais, 2 anos,,https://www.cachacaepresente.com.br/produtos/cachaca-beleza-de-minas-ouro-1-litro/,24/07/2021 17:43
33,60fc83aa70b4b14381fe412e,Cachaça Premium Jequitibá 700ml Dom Tápparo,"      R$119,00      ","Cachaça Dom Tápparo Premium 6 Anos 700 ml Cachaça Envelhecida 6 anos em Toneis de Jequitibá Grad. Alc: 38% Volume: 700 ML Origem: Mirassol / SP O envelhecimento de cachaças em barris de Jequitibá rosa, bem como suas características sensoriais, é considerado muito nobre. Essa madeira produz cachaças muito leves e com baixa acidez. Ficou uma cachaça extremamente ",Volume: 700ml,,, Mirassol / SP ,,,https://www.cachacaepresente.com.br/produtos/cachaca-premium-jequitiba-700ml-dom-tapparo/,24/07/2021 17:43
34,60fc83aa70b4b14381fe412f,Cachaça Cabaré Extra Premium 15 Anos 700ml,"      R$399,99      ","Cachaça Cabaré Extra Premium 15 Anos 700ml Origem: Mirassol/SP Madeira: Carvalho Envelhecimento: 15 anos Grad. Alcoólica: 38% Volume: 700 ml A Cachaça Cabaré é armazenada por 15 anos em tonéis de carvalho europeu e envasada em garrafa de design francês. A cachaça é uma parceria da dupla de cantores Leonardo e Eduardo Costa , pelo engenho Dom Tápparo. PREMIAÇÕES 2019 - Medalha de Duplo Ouro no Concurso Vinhos e Destilados do Brasil, realizado em São Paulo 2018 - Medalha de Ouro no Concurso Mundial de Bruxelas Edição Brasil 2017 - Medalha de Prata no Concurso Mundial de Bruxelas Edição Brasil 2017 - Medalha de Ouro no Expo Cachaça 2016 - Medalha de Prata no Concurso Mundial de Bruxelas Edição Brasil 2016 - 1o Lugar da 26a Expo Cachaça de Belo Horizonte/MG, Categoria Super Premium Degustação as Cegas. ",Volume: 700ml,, Carvalho , Mirassol/SP , 15 anos,,https://www.cachacaepresente.com.br/produtos/cachaca-cabare-extra-premium-15-anos-700ml/,24/07/2021 17:43
