,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TEMPO_DE_ARMAZENAMENTO,LINK,DATA_COLETA
0,60f709db91a49c37b089fbf7,Cachaça Extra Premium 12 Anos,"R$129,00", Cachaça Dom Tápparo Extra Premium envelhecida 12 anos em Toneis de Carvalho Europeu Graduação 38 % Vol. Vol. 750ml ,Vol. 750ml,38 %Vol.,Toneis de Carvalho Europeu,12 anos,https://domtapparo.com.br/produto/extra-premium-12-anos-carvalho/,17/07/2021 17:46
1,60f709dc91a49c37b089fbf8,Cachaça Extra Premium Americano,"R$299,00", CACHAÇA EXTRA PREMIUM CARVALHO AMERICANO 10 ANOS Premiadíssima Armazenada Sete Anos em Toneis de Amendoim e Envelhecida Três Anos em Toneis de Carvalho Americano Marca Dom Tápparo Graduação 38% Vol. 750ml Acompanha Embalagem de Veludo Preto. ,Vol. 750ml,38% Vol.,Toneis de Amendoim e Toneis de Carvalho Americano,10 anos,https://domtapparo.com.br/produto/cachaca-extra-premium-americano/,17/07/2021 17:46
2,60f709dc91a49c37b089fbf9,Cachaça Premium 3 anos Carvalho Europeu,"R$79,00", Cachaça envelhecida 3 anos em tonel de Carvalho Europeu – Graduação 38% Vol. ,Vol. 700ml,38% Vol.,Carvalho Europeu,3 anos,https://domtapparo.com.br/produto/premium-8-anos-carvalho/,17/07/2021 17:46
3,60f709dd91a49c37b089fbfa,Cachaça Premium 6 anos Jequitibá,"R$89,00", Cachaça Envelhecida 6 anos em Toneis de Jequitibá – Graduação alcoólico 38% Vol. 700ml ,Vol. 700ml,38% Vol.,Toneis de Jequitibá,6 anos,https://domtapparo.com.br/produto/cachaca-premium-6-anos-jequitiba-2/,17/07/2021 17:46
4,60f709dd91a49c37b089fbfb,Cachaça Premium Amburana Dom Tápparo,"R$79,00", Cachaça Envelhecida 6 anos em Toneis de Amburana – Graduação alcoólico 38% Vol. ,Vol. 750ml,38% Vol.,Toneis de Amburana,6 anos,https://domtapparo.com.br/produto/cachaca-premium-amburana/,17/07/2021 17:46
