,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,LINK,DATA_COLETA
10,60e3d3776395f772f1cc9bb5,Cachaça Artesanal 6 Annas Blend Castanha Do Pará e Carv.. Esp.,"R$ 88,00",Cachaça 6 Annas Blend É uma cachaça de alambique produzida artesanalmente. Composta 100% pelo produto do meio do processo: o Coração da Cachaça.União especial das cachaças Ouro envelhecida por incríveis 10 anos em barris de Castanha do Pará e finalizada 1 ano no Carvalho Espanhol. Resultando numa experiência sensorial única e refinada. ,,https://www.cachacariadosamigos.com.br/cachacas/cachaca-artesanal-6-annas-blend-castanha-do-para-e-carv-esp,26/06/2021 15:41
11,60e3d3776395f772f1cc9bb6,Cachaça Artesanal 6 Annas Carvalho Espanhol,"R$ 54,00",Cachaça Artesanal 06 Annas - É uma cachaça de alambique produzida artesanalmente. Composta 100% pelo produto do meio do processo: o Coração da Cachaça. Cachaça 6 Annas envelhecida em raros barris de Carvalho Espanhol por um ano. ,,https://www.cachacariadosamigos.com.br/cachacas/cachaca-artesanal-6-annas-carvalho-espanhol,26/06/2021 15:42
12,60e3d3776395f772f1cc9bb7,Cachaça Artesanal 6 Annas Ouro,"R$ 65,00","Cachaça Artesanal 06 Annas - É uma cachaça de alambique produzida artesanalmente. Composta 100% pelo produto do meio do processo: o Coração da Cachaça. Armazenada em tonéis de Castanha do Pará. Uma bebida que traz em seu sabor uma genuína herança familiar e afetiva, a cachaça 6 Annas é produzida de maneira inteiramente artesanal. O cultivo da sua matéria-prima, a cana de açúcar, é feito em terras do município de Aracruz e já atravessa diversas gerações. Envelhecida 10 anos em barris de madeira de Castanha-do-Pará, a cachaça apresenta uma cor âmbar suave que condiz com seu sabor e aroma igualmente encorpados e que deixam uma sensação de maciez em toda a boca.",Volume: 700 ml,https://www.cachacariadosamigos.com.br/cachacas/cachaca-artesanal-6-annas-ouro-700-ml,26/06/2021 15:42
13,60e3d3776395f772f1cc9bb8,Cachaça Artesanal 6 Annas PRATA,"R$ 42,00"," Cachaça Artesanal 06 Annas - É uma cachaça de alambique produzida artesanalmente. Composta 100% pelo produto do meio do processo: o Coração da Cachaça. Todo processo de produção é realizado artesanalmente na 6 Annas: desde o plantio da cana, colheita, moagem, destilação, armazenamento e envase. A 6 Annas pede uma apreciação calma para que suas sutilezas sejam plenamente percebidas pelos nossos sentidos. Envelhecida em barris de madeira de castanha-do-pará, a nossa cachaça apresenta uma cor âmbar suave que condiz com seu sabor e aroma igualmente encorpados e que deixam uma sensação de maciez em toda a boca. Envelhecimento: Descansa em Inox Grad. Alcoólica: 40% Volume: 700ml",Volume: 700ml,https://www.cachacariadosamigos.com.br/cachacas/cachaca-artesanal-6-annas-prata-700ml,26/06/2021 15:42
14,60e3d3776395f772f1cc9bb9,Cachaça Babuxca Frutas Vermelhas,"R$ 46,00","O sabor da Cachaça Babuxca Frutas Vermelhas é o xodó daqueles que flertam com algo mais doce. Apesar disso, seu gosto final passa uma sensação distinta do comum, uma vez que todos os ingredientes são naturais e sem conservantes. Por conta disso, essa é a Babuxca que mais muda de cor ao longo do tempo, suavemente alterando entre tons de vermelho, da cor do morango para a amora. Mas não se preocupe, esse é um processo natural de alimentos sem corante. Babuxca é uma bebida alcoólica mista feita com ingredientes 100% naturais. Compre agora mesmo essa Cachaça Babuxca Frutas Vermelhas e desfrute de um sabor único e original. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-babuxca-frutas-vermelhas,26/06/2021 15:42
15,60e3d3776395f772f1cc9bba,Cachaça Babuxca Limão,"R$ 46,00","”Nossa, tem um gostinho cítrico! Bem refrescante”. Utilizamos o limão tahiti pois acreditamos que ele equilibra perfeitamente com o doce do mel e traz a acidez exata para a Babuxca. Esse sabor agrada aqueles que gostam de algo mais cítrico, não tão doce. A fórmula original que deu origem à Babuxca é única e especial. Melhor do que falar é provar, você não vai se arrepender. A Cachaça Babuxca Limão vai oferecer ao seu paladar sensações inimagináveis. Aproveite e compre online Cachaça Babuxca Limão e adquira um produto original e com identidade brasileira. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-babuxca-limao,26/06/2021 15:42
16,60e3d3776395f772f1cc9bbb,Cachaça Babuxca Tangerina com Pimenta,"R$ 46,00","Diferente de tudo o que você já provou, a Babuxca de tangerina agrada gregos e troianos, corinthianos e palmeirenses. Seu cheiro especial é uma surpresa advinda do óleo da casca da tangerina. A pimenta que compõe a formula é a dedo-de-moça, mas não se preocupe, sua presença é leve e delicada, o gosto não é picante. A Cachaça Tangerina com Pimenta é o sabor mais original que você vai provar em décadas. Finalize agora mesmo a sua compra e adquira essa Cachaça Tangerina com Pimenta e tire o seu paladar da rotina. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-babuxca-tangerina-com-pimenta,26/06/2021 15:42
17,60e3d3776395f772f1cc9bbc,Cachaça Banabee - Bananinha,"R$ 35,00","Essa é a Banabee, uma bebida mista com base em cachaça, banana, mel e canela. Um sabor apaixonante devido ao uso banana in natura com mel e sua finalização tem o toque da canela, que dá sofisticação à bebida.Um cocktail pronto para beber (Ready to drink) com sabor maravilhoso e equilibrado para ser tomado em shot (direto ou gelado) e também em copo com gelo. Volume: 750mL Graduação Alcoólica: 20%",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-banabee-bananinha,26/06/2021 15:42
18,60e3d3776395f772f1cc9bbd,Cachaça Barra Grande Branca,"R$ 57,00",A Cachaça Barra Grande Branca se apropria de uma madeira neutra para conduzir o seu paladar a uma jornada que vai elevar o seu estado de espírito a um grande patamar de prazer. O corpo e o sabor desta bebida vão fazer você se sentir nas nuvens. Você merece momentos memoráveis para a sua vida. Cachaça Barra Grande Branca vai tornar os seus drinks mais especiais e irresistíveis. Faça uma compra segura para a sua adega. Cachaça Barra Grande Branca é sinônimo de produto de qualidade. ,,https://www.cachacariadosamigos.com.br/cachacas/cachaca-barra-grande-branca,26/06/2021 15:42
19,60e3d3776395f772f1cc9bbe,Cachaça Barra Grande Especial 150 anos,"R$ 157,50","Uma edição comemorativa para celebrar a grandiosidade desta bebida memorável. A Cachaça Barra Grande Especial 150 anos é o auge de uma bebida que apresenta uma história sólida, Uma homenagem de alto nível para exaltar a história da composição de uma fórmula que tem todos os atributos para ser perfeita. Cachaça Barra Grande Especial 150 anos é um registro histórico do auge inconfundível do sabor. Seja um agreciado com a compra desta Cachaça Barra Grande Especial 150 anos. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-barra-grande-especial-150-anos,26/06/2021 15:43
