,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TIPO,PRODUTOR,LOCAL_DE_PRODUÇÃO,LINK,DATA_COLETA
519,60da728648d04e334f32a21b, Cachaça Rio do Engenho Black,"R$ 49,00"," De breve envelhecimento, se trata de um produto mais jovem para os apreciadores de cachaça com o sabor intenso da Amburana, suavizado pelas características próprias da Itiúba. ",Volume: 670 ml ,Graduação Alcoólica: 38% ,,,Produtor: Rio do Engenho ,Local de Produção: Ilhéus / Bahia ,https://www.amburana.com/cachacas/cachaca-rio-do-engenho-black-670-ml.html,26/06/2021 15:46
520,60da728648d04e334f32a21c, Cachaça Rio do Engenho Prata,"R$ 46,00"," Produto jovem, não envelhecido, mantém as características do puro sabor natural da cachaça. ",Volume: 670 ml ,Graduação Alcoólica: 38% ,,,Produtor: Rio do Engenho ,Local de Produção: Ilhéus / Bahia ,https://www.amburana.com/cachacas/rio-do-engenho-prata.html,26/06/2021 15:46
521,60da728648d04e334f32a21d, Aguardente Claudionor,"R$ 45,00"," A Aguardente de Cana Claudionor é a pioneira em Januária na produção de cachaça artesanal, levando a cidade a ser conhecida como a ""Terra da Cachaça"". É envelhecida em amburana por 1 ano. ",Volume: 600 ml ,Graduação Alcoólica: 48% ,,Tipo: Aguardente ,Produtor: Casa Claudionor Carneiro Ltda ,Local de Produção: Januária / Minas Gerais ,https://www.amburana.com/cachacas/claudionor.html,26/06/2021 15:46
522,60da728648d04e334f32a21e, Cachaça Costa Rica Clássica,"R$ 60,00"," Tradicional Cachaça Artesanal Mineira, armazenada em tonéis de Jequitibá-rosa apresentando uma suavidade sem igual, combinando com tudo, pura ou em misturas no preparo de vários drinks. ",Volume: 670 ml ,Graduação Alcoólica: 40% ,,,Produtor: Alambique Guarani ,Local de Produção: Guarani / Minas Gerais ,https://www.amburana.com/cachacas/costa-rica-classica.html,26/06/2021 15:46
523,60da728648d04e334f32a21f, Cachaça Encantos da Marquesa Prata 2010,"R$ 65,00"," A Cachaça Encantos da Marquesa Prata 2010 é produzida na Fazenda da Marquesa em Indaiabira/MG. Curiosidade: a Encantos da Marquesa é produzida com diversos cuidados que incluem a base orgânica do canavial, o uso da água de chuva para eliminar a presença de metais na destilação, a colheita manual e o uso de transporte por animais, a renovação sistemática do fermento, e ainda, a destilação cuidadosa em alambiques de cobre de pequeno porte. ",Volume: 600 ml ,Graduação Alcoólica: 40% ,,Tipo: Orgânica ,Produtor: Agroindustrial Fazenda Marquesa Ltda ,Local de Produção: Indaiabira / Minas Gerais ,https://www.amburana.com/cachacas/cachaca-encantos-da-marquesa-prata-2010-600-ml.html,26/06/2021 15:46
524,60da728648d04e334f32a220, Cachaça Matodentro Premium Prata,"R$ 78,00", A Cachaça Matodentro Premium Prata é proveniente da cidade de São Luiz do Paraitinga no interior de São Paulo. ,Volume: 700 ml ,Graduação Alcoólica: 42% ,,Tipo: Prata ,Produtor: Manuel Romulo ,Local de Produção: São Luiz do Paraitinga / São Paulo ,https://www.amburana.com/cachacas/premium-prata-700ml.html,26/06/2021 15:47
525,60da728648d04e334f32a221, Cachaça Mazzaropi Clara Carvalho,"R$ 95,00"," A Cachaça Mazzaropi Clara é envelhecida em carvalho. Curiosidade: A produção da Cachaça Mazzaropi começou de maneira despretensiosa, caseira, apenas para consumo dos hóspedes e amigos do Hotel Fazenda Mazzaropi, em Taubaté (SP). Atualmente a produção da cana é feita na Fazenda Fortaleza, em São Luiz do Paraitinga (SP). ",Volume: 700 ml ,Graduação Alcoólica: 40% ,,,Produtor: Fortaleza Agroindustrial ,Local de Produção: São Luiz do Paraitinga / São Paulo ,https://www.amburana.com/cachacas/mazzaropi-clara-carvalho.html,26/06/2021 15:47
526,60da728648d04e334f32a222, Cachaça Nega Fulô Terracota,"R$ 250,00"," A Cachaça Nêga Fulô Terracota é guardada forte e pura em tonéis de carvalho. Sua embalagem é obra do premiado escultor Geraldo Simplício, o Nêgo. Trata-se de uma botija de terracota, de concepção artesanal; tanto na forma como no material utilizado - argila modelada, queimada em forno. O resultado é uma obra inédita, original e decorativa, sendo o primeiro recipiente em terracota a harmonizar arte e design comercial. ",Volume: 700 ml ,Graduação Alcoólica: 38% ,Tipo Barril: Carvalho ,Tipo: cerâmica ,Produtor: Fazenda Soledade ,Local de Produção: Nova Friburgo / Rio de Janeiro ,https://www.amburana.com/cachacas/nega-fulo-terracota.html,26/06/2021 15:47
527,60da728648d04e334f32a223, Cachaça Reserva do Nosco Envelhecida,"R$ 101,18"," A cachaça Reserva do Nosco Envelhecida é produzida no distrito de Engenho Passos, localizado na cidade de Resende no Rio de Janeiro. ",Volume: 700 ml ,Graduação Alcoólica: 42% ,,Tipo: Envelhecida ,Produtor: Marcelo Nordskog ,Local de Produção: Engenheiro Passos / Rio de Janeiro ,https://www.amburana.com/cachacas/reserva-do-nosco-envelhecida.html,26/06/2021 15:47
528,60da728648d04e334f32a224, Cachaça Weber Haus 30 Luas Premium,"R$ 127,50"," A Cachaça Weber Haus 30 Luas Premium é produzida em Ivoti/ RS. Com uma apurada seleção de cana de açúcar, sendo envelhecida por 30 meses em carvalho. É uma cachaça de ""meditação"", devendo ser apreciada moderadamente e em momentos especiais. Ideal para o happy hour ou para acompanhar um charuto. ",Volume: 500 ml ,Graduação Alcoólica: 38% ,Tipo Barril: Carvalho ,Tipo: Premium ,Produtor: K. Weber e Cia Ltda ,Local de Produção: Ivotí / RS ,https://www.amburana.com/cachacas/30-luas.html,26/06/2021 15:47
