,_id,NOME_DA_CACHAÇA,DESCRIÇÃO_DA_CACHAÇA,DATA_COLETA,LINK
0,610ffccf283fbdc785872c9f,MAGNÍFICA RESERVA SOLEIRA,"Envelhece em barris de carvalho americano “ex-bourbon” pelo exclusivo método “Soleira”, combinando harmoniosamente cachaças com 6 a mais de 15 anos de idade.
De coloração dourada, evoca aromas de caramelo, mel, frutas secas e baunilha.
Muito macia, tanto pode ser degustada pura ou com gelo, como aperitivo ou digestivo.
Saiba mais sobre o processo de envelhecimento Soleira.",8/8/2021 - 12:48:31,https://cachacamagnifica.com.br/nossas-cachacas/
1,610ffccf283fbdc785872ca0,MAGNÍFICA EXTRA PREMIUM,"Num processo de dupla maturação, descansa primeiro em ipê por um ano e depois em carvalho americano por no mínimo três anos.
Dourada, perfumada e de sabor suave, pode ser degustada pura ou com gelo, como aperitivo ou digestivo.
Em drinques ou na gastronomia em geral, combina com chocolate, especiarias e frutas vermelhas.",8/8/2021 - 12:48:31,https://cachacamagnifica.com.br/nossas-cachacas/
2,610ffccf283fbdc785872ca1,MAGNÍFICA TRADICIONAL IPÊ,"Descansa no mínimo por um ano em tonéis de Ipê, madeira nobre típica do Brasil.
Levemente amarelada, intensa, apresenta um agradável aroma de frutas tropicais.
Ideal como base para o preparo de drinques com frutas cítricas, em especial a ‘Caipirinha’.",8/8/2021 - 12:48:31,https://cachacamagnifica.com.br/nossas-cachacas/
3,610ffccf283fbdc785872ca2,MAGNÍFICA BICA DO ALAMBIQUE,"Sai direto do exclusivo alambique de 3 corpos para a garrafa, sem descanso e sem diluição, com inéditos 48% de álcool (margem máxima permitida pela legislação).
Sabor fresco, doce e nada agressivo. Apresenta um leque sutil de aromas que vão de alcaparras, das trufas a cerejas.
Forte e ao mesmo tempo suave, elaborada para agradar especialmente os apreciadores da melhor “branquinha”.",8/8/2021 - 12:48:31,https://cachacamagnifica.com.br/nossas-cachacas/
4,610ffccf283fbdc785872ca3,MAGNÍFICA SAFRA DO ANO,"Esta cachaça descansa em tonéis de inox, sem passar por madeira.
De estilo puro e franco, seu frescor revela o verdadeiro espírito da cachaça de alambique.
Especialmente indicada para o preparo da tradicional ‘Caipirinha’ e outros drinques.",8/8/2021 - 12:48:31,https://cachacamagnifica.com.br/nossas-cachacas/
5,610ffccf283fbdc785872ca4,MAGNÍFICA SINGLE CASK,"De tiragem limitada, é extraída de um único barril, escolhido entre os mais antigos e que emprestam mais qualidades à bebida. Cada garrafa, numerada, indica a data de sua produção e o teor alcoólico.
Da coleção de barricas raras, cada barril oferece um produto único, apresentando aromas, sabor e coloração que lhe conferem identidade própria.
Saiba mais sobre a Cachaça Magnífica Single Cask.",8/8/2021 - 12:48:31,https://cachacamagnifica.com.br/nossas-cachacas/
